Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1µ","C_0603_1608Metric",174.675000,-160.468751,-90.000000,bottom
"C2","1µ","C_0603_1608Metric",174.675000,-163.568751,90.000000,bottom
"C3","15p","C_0402_1005Metric",191.375000,-157.318751,-90.000000,bottom
"C4","15p","C_0402_1005Metric",191.375000,-159.318751,90.000000,bottom
"C5","1µ","C_0402_1005Metric",178.825000,-165.318751,0.000000,bottom
"C6","1µ","C_0402_1005Metric",177.375000,-163.268751,-90.000000,bottom
"C7","100n","C_0402_1005Metric",176.625000,-159.318751,180.000000,bottom
"C8","100n","C_0402_1005Metric",187.324999,-161.718751,-90.000000,bottom
"C9","100n","C_0402_1005Metric",183.924999,-154.118751,0.000000,bottom
"C10","100n","C_0402_1005Metric",173.974999,-156.948751,-90.000000,bottom
"C11","100n","C_0402_1005Metric",178.825000,-164.318750,0.000000,bottom
"C12","100n","C_0402_1005Metric",178.924999,-154.918750,180.000000,bottom
"C13","100n","C_0402_1005Metric",183.175000,-165.018751,180.000000,bottom
"C14","100n","C_0402_1005Metric",188.425000,-161.718750,-90.000000,bottom
"D1","LED","LED_0402_1005Metric",190.625000,-161.718751,-90.000000,bottom
"DA1","Diode","diode_smd",97.313750,-89.693750,90.000000,bottom
"DA2","Diode","diode_smd",116.363750,-89.693750,90.000000,bottom
"DA3","Diode","diode_smd",135.413750,-89.693750,90.000000,bottom
"DA4","Diode","diode_smd",154.463750,-89.693750,90.000000,bottom
"DA5","Diode","diode_smd",173.513750,-89.693750,90.000000,bottom
"DA6","Diode","diode_smd",192.563750,-89.693750,90.000000,bottom
"DA7","Diode","diode_smd",211.613750,-89.693750,90.000000,bottom
"DA8","Diode","diode_smd",230.663750,-89.693750,90.000000,bottom
"DA9","Diode","diode_smd",249.713750,-89.693750,90.000000,bottom
"DA10","Diode","diode_smd",268.763750,-89.693750,90.000000,bottom
"DA11","Diode","diode_smd",287.813750,-89.693750,90.000000,bottom
"DA12","Diode","diode_smd",306.863750,-89.693750,90.000000,bottom
"DA13","Diode","diode_smd",325.913750,-89.693750,90.000000,bottom
"DA14","Diode","diode_smd",329.088750,-89.693750,90.000000,bottom
"DA15","Diode","diode_smd",363.220100,-89.693750,90.000000,bottom
"DB1","Diode","diode_smd",102.076350,-108.743750,90.000000,bottom
"DB2","Diode","diode_smd",125.888750,-108.743750,90.000000,bottom
"DB3","Diode","diode_smd",144.938750,-108.743750,90.000000,bottom
"DB4","Diode","diode_smd",163.988750,-108.743750,90.000000,bottom
"DB5","Diode","diode_smd",183.038750,-108.743750,90.000000,bottom
"DB6","Diode","diode_smd",202.088750,-108.743750,90.000000,bottom
"DB7","Diode","diode_smd",221.138750,-108.743750,90.000000,bottom
"DB8","Diode","diode_smd",240.188750,-108.743750,90.000000,bottom
"DB9","Diode","diode_smd",259.238750,-108.743750,90.000000,bottom
"DB10","Diode","diode_smd",278.288750,-108.743750,90.000000,bottom
"DB11","Diode","diode_smd",297.338750,-108.743750,90.000000,bottom
"DB12","Diode","diode_smd",316.388750,-108.743750,90.000000,bottom
"DB13","Diode","diode_smd",335.438750,-108.743750,90.000000,bottom
"DB14","Diode","diode_smd",340.995100,-108.743750,90.000000,bottom
"DC1","Diode","diode_smd",105.251350,-127.793750,90.000000,bottom
"DC2","Diode","diode_smd",130.968750,-127.793750,90.000000,bottom
"DC3","Diode","diode_smd",150.018750,-127.793750,90.000000,bottom
"DC4","Diode","diode_smd",169.068750,-127.793750,90.000000,bottom
"DC5","Diode","diode_smd",188.118750,-127.793750,90.000000,bottom
"DC6","Diode","diode_smd",207.168750,-127.793750,90.000000,bottom
"DC7","Diode","diode_smd",226.218750,-127.793750,90.000000,bottom
"DC8","Diode","diode_smd",245.268750,-127.793750,90.000000,bottom
"DC9","Diode","diode_smd",264.318750,-127.793750,90.000000,bottom
"DC10","Diode","diode_smd",283.368750,-127.793750,90.000000,bottom
"DC11","Diode","diode_smd",302.418750,-127.856250,90.000000,bottom
"DC12","Diode","diode_smd",321.468750,-127.793750,90.000000,bottom
"DC13","Diode","diode_smd",324.326350,-127.793750,90.000000,bottom
"DC14","Diode","diode_smd",352.425000,-130.175000,90.000000,bottom
"DD1","Diode","diode_smd",83.343750,-146.843750,90.000000,bottom
"DD2","Diode","diode_smd",121.443750,-146.843750,90.000000,bottom
"DD3","Diode","diode_smd",124.301350,-146.843750,90.000000,bottom
"DD4","Diode","diode_smd",159.543750,-146.843750,90.000000,bottom
"DD5","Diode","diode_smd",162.401350,-146.843750,90.000000,bottom
"DD6","Diode","diode_smd",197.643750,-146.843750,90.000000,bottom
"DD7","Diode","diode_smd",216.693750,-146.843750,90.000000,bottom
"DD8","Diode","diode_smd",235.743750,-146.843750,90.000000,bottom
"DD9","Diode","diode_smd",254.793750,-146.843750,90.000000,bottom
"DD10","Diode","diode_smd",273.843750,-146.843750,90.000000,bottom
"DD11","Diode","diode_smd",292.893750,-146.843750,90.000000,bottom
"DD12","Diode","diode_smd",311.943750,-146.843750,90.000000,bottom
"DD14","Diode","diode_smd",347.662500,-146.843750,90.000000,bottom
"DD15","Diode","diode_smd",363.696350,-146.836250,90.000000,bottom
"DE1","Diode","diode_smd",102.393750,-165.893750,90.000000,bottom
"DE2","Diode","diode_smd",126.206250,-165.893750,90.000000,bottom
"DE3","Diode","diode_smd",131.445000,-165.893750,90.000000,bottom
"DE7","Diode","diode_smd",230.981250,-165.893750,90.000000,bottom
"DE11","Diode","diode_smd",290.512500,-165.893750,90.000000,bottom
"DE12","Diode","diode_smd",314.325000,-165.893750,90.000000,bottom
"DE14","Diode","diode_smd",338.137500,-165.893750,90.000000,bottom
"DE15","Diode","diode_smd",361.950000,-165.893750,90.000000,bottom
"J1","SM04B-SRSS-TB(LF)(SN)","jst",107.340000,-99.940000,-90.000000,bottom
"R1","1k","R_0402_1005Metric",189.525000,-161.718750,90.000000,bottom
"R2","10k","R_0402_1005Metric",187.125000,-164.618750,-90.000000,bottom
"R3","1k","R_0402_1005Metric",187.125000,-154.518751,90.000000,bottom
"R6","27","R_0402_1005Metric",176.725000,-160.618751,0.000000,bottom
"R7","27","R_0402_1005Metric",176.725000,-161.718751,0.000000,bottom
"R8","1k","R_0402_1005Metric",189.524999,-160.068751,180.000000,bottom
"R9","10k","R_0402_1005Metric",173.975000,-154.998751,-90.000000,bottom
"R10","5.1k","R_0402_1005Metric",176.325000,-163.268751,90.000000,bottom
"R11","10k","R_0402_1005Metric",176.835000,-164.818751,180.000000,bottom
"SW1","SW_Push","SW_SPST_CK_KXT3",189.825000,-164.618751,180.000000,bottom
"SW2","SW_Push","SW_SPST_CK_KXT3",189.825000,-154.618750,180.000000,bottom
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",182.225000,-159.618750,-90.000000,bottom
"U2","GD25Q80CEIGR","USON-8-1EP_3x2mm_P0.5mm_EP0.25x1.65mm",175.825000,-155.968751,180.000000,bottom
"U3","XC6210B332MR-G","SOT-23-5",172.174999,-162.068750,-180.000000,bottom
"Y1","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",189.125000,-158.018751,180.000000,bottom
